MATRICULA,DATA_VENCIMENTO,BAIRRO,VALOR_FATURA,ANO_VENCIMENTO,MES_VENCIMENTO,TRIMESTRE,VALOR_FATURA_lag1,VALOR_FATURA_lag2
706671,2022-04-18,BONFIM,85.06,2022,4,2,68.57,293.0
116852313,2022-04-18,URUCUIA,405.08,2022,4,2,2211.15,806.98
1068717,2022-04-18,SAO PAULO,1048.61,2022,4,2,1028.53,1029.33
17308976,2022-04-18,TAQUARIL,626.62,2022,4,2,470.79,421.1
116827173,2022-04-18,SION,35.52,2022,4,2,35.52,35.52
17309298,2022-04-18,MONSENHOR MESSIAS,354.85,2022,4,2,305.01,387.77
159020581,2022-04-18,ALIPIO DE MELO,24.24,2022,4,2,27.98,24.24
116804777,2022-04-18,CANDELARIA,1007.44,2022,4,2,322.01,288.86
17321531,2022-04-18,CENTRO,104.21,2022,4,2,113.94,104.24
116804475,2022-04-18,LIBERDADE,39.26,2022,4,2,39.38,35.56
116791985,2022-04-18,NOSSA SENHORA DE FATIMA,1590.99,2022,4,2,252.24,1731.96
17347904,2022-04-18,NOVA FLORESTA,42.18,2022,4,2,42.18,42.18
116761890,2022-04-18,BARRO PRETO,251.65,2022,4,2,204.07,223.18
17348587,2022-04-18,PADRE EUSTAQUIO,520.43,2022,4,2,626.63,470.65
116717912,2022-04-18,BARRO PRETO,308.83,2022,4,2,260.56,279.85
159368677,2022-04-18,BARONESA,94.55,2022,4,2,84.77,114.01
17358833,2022-04-18,ESTRELA DO ORIENTE,202.53,2022,4,2,137.01,104.21
116619163,2022-04-18,NOVA GRANADA,35.46,2022,4,2,24.24,24.24
17374855,2022-04-18,SANTA MONICA,1247.59,2022,4,2,176.09,62.07
116574739,2022-04-18,SAGRADA FAMILIA,35.52,2022,4,2,43.02,35.63
116484608,2022-04-18,ZILAH SPOSITO,251.65,2022,4,2,204.07,223.18
17539358,2022-04-18,VILA CLORIS,55.32,2022,4,2,74.85,74.85
116401630,2022-04-18,RIBEIRO DE ABREU,61.73,2022,4,2,42.22,48.76
17596122,2022-04-18,FUNCIONARIOS,28.02,2022,4,2,28.02,31.76
17621763,2022-04-18,CONJUNTO JARDIM FILADELFIA,337.65,2022,4,2,309.21,429.91
116320885,2022-04-18,COLEGIO BATISTA,59.77,2022,4,2,27.98,24.24
1064151,2022-04-18,SAO PAULO,1097.66,2022,4,2,398.87,1179.63
116301694,2022-04-18,TEIXEIRA DIAS,104.15,2022,4,2,137.08,84.72
116910194,2022-04-18,FLORESTA,43.02,2022,4,2,35.5,2.29
17304091,2022-04-18,SAO PAULO,1531.65,2022,4,2,2395.49,2353.01
17260515,2022-04-18,PIRATININGA,17.94,2022,4,2,17.94,17.94
116914998,2022-04-18,BONSUCESSO,55.22,2022,4,2,48.73,48.73
16718933,2022-04-18,CENTRO,24.24,2022,4,2,24.24,14.3
117790001,2022-04-18,DOM BOSCO,27.98,2022,4,2,27.98,24.26
117675709,2022-04-18,SAO BERNARDO,256.03,2022,4,2,606.64,686.93
16781023,2022-04-18,OESTE,2973.72,2022,4,2,1291.78,970.62
117613631,2022-04-18,MANGABEIRAS,116.73,2022,4,2,124.15,156.85
16829531,2022-04-18,CIDADE NOVA,42.2,2022,4,2,163.32,49.15
158626435,2022-04-18,PADRE EUSTAQUIO,24.24,2022,4,2,24.24,24.28
117524069,2022-04-18,CARLOS PRATES,136.98,2022,4,2,123.85,150.09
117495166,2022-04-18,RIBEIRO DE ABREU,646.98,2022,4,2,388.07,606.68
16847709,2022-04-18,RESPLENDOR,1428.3,2022,4,2,627.09,152.48
117296091,2022-04-18,PAQUETA,1028.34,2022,4,2,1249.01,868.44
16928938,2022-04-18,ESPLANADA,3398.67,2022,4,2,45.93,3869.03
16974042,2022-04-18,SANTA EFIGENIA,1328.38,2022,4,2,354.76,338.22
116248181,2022-04-18,SION,24.24,2022,4,2,108.73,24.24
117293997,2022-04-18,CIDADE JARDIM,27.98,2022,4,2,24.24,24.28
117293946,2022-04-18,CIDADE JARDIM,28.0,2022,4,2,24.24,28.0
1072994,2022-04-18,IPIRANGA,1913.13,2022,4,2,2092.34,2693.87
17023459,2022-04-18,CARLOS PRATES,202.63,2022,4,2,150.16,150.27
117293806,2022-04-18,CIDADE JARDIM,24.24,2022,4,2,27.98,24.26
17023637,2022-04-18,SANTA MONICA,355.11,2022,4,2,1088.58,552.64
117290238,2022-04-18,VILA FAZENDINHA,43.28,2022,4,2,2251.42,626.78
158835131,2022-04-18,BURITIS,27.98,2022,4,2,24.24,24.24
117158208,2022-04-18,LAGOINHA,387.8,2022,4,2,321.61,305.08
117097063,2022-04-18,SANTO ANDRE,61.71,2022,4,2,48.71,42.22
17078202,2022-04-18,CARLOS PRATES,27.98,2022,4,2,24.26,24.26
17102405,2022-04-18,CRUZEIRO,727.77,2022,4,2,1048.52,1048.91
116921153,2022-04-18,SANTA EFIGENIA,24.24,2022,4,2,24.38,24.47
17107369,2022-04-18,LOURDES,3870.2,2022,4,2,3318.02,3639.05
16977203,2022-04-18,TAQUARIL,271.95,2022,4,2,215.91,271.95
17692652,2022-04-18,CAMPO ALEGRE,437.6,2022,4,2,255.46,404.34
160004250,2022-04-18,LAGOINHA,27.98,2022,4,2,24.24,24.24
116230398,2022-04-18,SION,24.47,2022,4,2,86.32,78.78
115813845,2022-04-18,SANTO ANTONIO,114.05,2022,4,2,104.34,136.93
18147151,2022-04-18,LAGOA,1129.97,2022,4,2,1048.77,1890.83
115812474,2022-04-18,JAQUELINE,626.86,2022,4,2,454.35,571.08
160254680,2022-04-18,BOA VISTA,1691.49,2022,4,2,1433.49,1895.64
115788352,2022-04-18,BELVEDERE,24.24,2022,4,2,27.98,24.24
18154913,2022-04-18,JARDIM GUANABARA,2192.3,2022,4,2,406.88,1491.82
18231454,2022-04-18,SAO LUCAS,1691.83,2022,4,2,1149.86,2149.94
115733574,2022-04-18,OESTE,24.24,2022,4,2,24.24,24.24
18269061,2022-04-18,BOA VISTA,94.32,2022,4,2,68.34,61.8
115732101,2022-04-18,ERMELINDA,24.24,2022,4,2,35.46,24.24
115706101,2022-04-18,SAO LUIZ,24.24,2022,4,2,24.24,24.24
18269176,2022-04-18,SERRA,229.19,2022,4,2,338.96,305.24
1059564,2022-04-18,UNIAO,1410.46,2022,4,2,1070.89,1692.07
18075550,2022-04-18,SANTA MONICA,202.53,2022,4,2,150.11,104.21
115641998,2022-04-18,CALIFORNIA,28.0,2022,4,2,28.0,28.0
18283471,2022-04-18,MILIONARIOS,1228.51,2022,4,2,570.1,586.56
115637214,2022-04-18,VENDA NOVA,503.95,2022,4,2,503.86,520.59
115633375,2022-04-18,AARAO REIS,42.18,2022,4,2,42.18,42.18
160287596,2022-04-18,TIROL,3405.94,2022,4,2,3758.45,3028.48
18288791,2022-04-18,NOSSA SENHORA DA GLORIA,867.64,2022,4,2,707.18,667.0
115599711,2022-04-18,NOSSA SENHORA DO ROSARIO,1088.88,2022,4,2,968.32,1148.96
18290302,2022-04-18,PINDORAMA,242.34,2022,4,2,437.5,321.54
115569201,2022-04-18,SANTO ANTONIO,176.94,2022,4,2,84.79,470.54
18321194,2022-04-18,SAO GABRIEL,4386.83,2022,4,2,1112.79,2013.41
18332781,2022-04-18,CARMO,43.02,2022,4,2,28.08,39.32
115559388,2022-04-18,SANTO AGOSTINHO,78.78,2022,4,2,24.24,78.8
18334474,2022-04-18,SOLAR DO BARREIRO,42.18,2022,4,2,42.18,42.18
115528296,2022-04-18,MANGABEIRAS,28.0,2022,4,2,28.0,27.98
115641840,2022-04-18,JARDIM MONTANHES,43.04,2022,4,2,43.04,43.04
1073010,2022-04-18,IPIRANGA,2894.2,2022,4,2,1151.67,1498.61
18070221,2022-04-18,SALGADO FILHO,387.96,2022,4,2,305.35,405.21
18022553,2022-04-18,MINAS CAIXA,3016.5,2022,4,2,3035.1,3003.48
17737885,2022-04-18,CEU AZUL,1309.23,2022,4,2,808.05,968.26
116229101,2022-04-18,CORACAO EUCARISTICO,175.06,2022,4,2,71.33,39.91
17739632,2022-04-18,GUARANI,607.24,2022,4,2,570.1,888.13
116223821,2022-04-18,CORACAO EUCARISTICO,2560.08,2022,4,2,24.24,24.24
116223677,2022-04-18,CARLOS PRATES,27.98,2022,4,2,24.24,24.24
17769736,2022-04-18,HORTO,48.71,2022,4,2,42.2,48.69
116182237,2022-04-18,FERNAO DIAS,55.59,2022,4,2,94.68,189.69
17828929,2022-04-18,NOVA GAMELEIRA,2594.44,2022,4,2,2193.47,2293.58
116133813,2022-04-18,JAQUELINE,17.94,2022,4,2,17.94,17.94
17840422,2022-04-18,CARLOS PRATES,194.3,2022,4,2,86.36,101.5
116113715,2022-04-18,CINQUENTENARIO,104.13,2022,4,2,68.41,74.87
17881978,2022-04-18,SAGRADA FAMILIA,1028.28,2022,4,2,647.55,827.56
160005205,2022-04-18,CAICARA ADELAIDE,24.24,2022,4,2,24.24,24.24
115826459,2022-04-18,ESTORIL,24.26,2022,4,2,24.24,27.98
115967893,2022-04-18,CONJUNTO JARDIM FILADELFIA,1849.71,2022,4,2,229.48,289.25
17890314,2022-04-18,SERRA,2414.67,2022,4,2,2053.75,2836.22
17895944,2022-04-18,RENASCENCA,288.03,2022,4,2,84.71,68.52
115912738,2022-04-18,MANGABEIRAS,31.95,2022,4,2,28.12,78.7
17904579,2022-04-18,TUPI A,338.06,2022,4,2,288.5,242.32
115908277,2022-04-18,BURITIS,24.24,2022,4,2,24.32,24.24
160005817,2022-04-18,APARECIDA,1446.42,2022,4,2,1469.27,1699.75
17960835,2022-04-18,CENTRO,74.77,2022,4,2,55.24,55.24
115898484,2022-04-18,SANTA LUCIA,24.26,2022,4,2,31.74,28.02
115897968,2022-04-18,MILIONARIOS,184.51,2022,4,2,28.0,28.0
115845321,2022-04-18,CARLOS PRATES,43.04,2022,4,2,43.27,43.11
17995761,2022-04-18,ESTRELA DALVA,84.49,2022,4,2,42.94,42.8
115826556,2022-04-18,ESTORIL,24.24,2022,4,2,24.24,24.24
1062824,2022-04-18,SAO PAULO,521.93,2022,4,2,2291.07,1589.58
115935274,2022-04-18,MONTE AZUL,150.11,2022,4,2,150.0,150.11
117828408,2022-04-18,CAPITAO EDUARDO,1107.46,2022,4,2,203.87,164.39
16620232,2022-04-18,FUNCIONARIOS,104.24,2022,4,2,42.25,107.03
16601432,2022-04-18,SANTA RITA DE CASSIA,1791.08,2022,4,2,243.72,1390.0
119380358,2022-04-18,ESTORIL,31.72,2022,4,2,24.24,24.26
119303078,2022-04-18,JOAO PINHEIRO,24.24,2022,4,2,28.0,24.24
1132849,2022-04-18,SANTA CRUZ,1188.61,2022,4,2,1108.85,747.53
14662361,2022-04-18,LAGOINHA,42.8,2022,4,2,1167.63,321.09
158081641,2022-04-18,ESTRELA DO ORIENTE,94.55,2022,4,2,163.08,150.15
119298821,2022-04-18,JARDIM VITORIA,202.72,2022,4,2,162.98,189.4
14667487,2022-04-18,CASA BRANCA,1591.01,2022,4,2,888.55,1750.33
119168863,2022-04-18,POMPEIA,27.98,2022,4,2,23.96,24.26
14704293,2022-04-18,PAULO VI,888.02,2022,4,2,441.09,910.32
119155931,2022-04-18,CAMARGOS,35.48,2022,4,2,31.78,28.0
119154048,2022-04-18,SAO PAULO,487.86,2022,4,2,69.29,847.01
14728061,2022-04-18,PIRATININGA,3557.66,2022,4,2,1653.9,2775.3
119149494,2022-04-18,SANTA LUCIA,39.35,2022,4,2,93.68,54.22
14624516,2022-04-18,CAICARAS,114.05,2022,4,2,114.17,136.98
14767155,2022-04-18,CONJUNTO HABITACIONAL GORDURAS,94.43,2022,4,2,74.87,94.37
119148790,2022-04-18,FUNCIONARIOS,406.65,2022,4,2,327.63,349.09
14851784,2022-04-18,SANTA MONICA,2532.9,2022,4,2,968.27,1249.04
14869985,2022-04-18,SANTA EFIGENIA,356.33,2022,4,2,1370.34,1470.09
119082039,2022-04-18,GUARANI,24.24,2022,4,2,24.24,24.24
1092731,2022-04-18,SANTA INES,84.72,2022,4,2,62.01,114.02
158185846,2022-04-18,INDEPENDENCIA,28.04,2022,4,2,42.98,35.58
14884372,2022-04-18,JARAGUA,1751.53,2022,4,2,1751.36,1811.35
118932292,2022-04-18,MANGABEIRAS,24.58,2022,4,2,24.24,116.28
118789783,2022-04-18,CONJUNTO CALIFORNIA,1549.82,2022,4,2,307.26,928.12
15050084,2022-04-18,LETICIA,2753.46,2022,4,2,1069.53,1230.1
15059375,2022-04-18,SOLIMOES,24.64,2022,4,2,213.6,139.47
118757008,2022-04-18,DONA CLARA,42.94,2022,4,2,27.98,24.26
118754033,2022-04-18,JAQUELINE,2791.76,2022,4,2,1249.45,70.59
14839296,2022-04-18,FLAVIO MARQUES LISBOA,189.82,2022,4,2,255.15,321.41
158380304,2022-04-18,CALAFATE,54.26,2022,4,2,49.13,43.0
119463440,2022-04-18,CEU AZUL,150.04,2022,4,2,104.01,114.29
119482754,2022-04-18,GUTIERREZ,24.24,2022,4,2,24.24,24.24
120773368,2022-04-18,SERRA,24.24,2022,4,2,31.72,24.32
13711440,2022-04-18,SAO LUIZ,887.79,2022,4,2,470.77,727.08
13791109,2022-04-18,SAO PAULO,3196.29,2022,4,2,2173.65,2476.05
120661845,2022-04-18,LAGOA,176.56,2022,4,2,150.05,242.11
120580632,2022-04-18,LUXEMBURGO,27.98,2022,4,2,59.77,24.28
14112701,2022-04-18,CIDADE NOVA,42.62,2022,4,2,288.58,216.06
158064739,2022-04-18,CASTELO,24.49,2022,4,2,86.34,86.3
120329166,2022-04-18,JARDIM GUANABARA,136.88,2022,4,2,123.79,104.21
