REGIÃO_BARREIRO,REGIÃO_CENTRO-SUL,REGIÃO_DESCONHECIDO,REGIÃO_LESTE,REGIÃO_NORDESTE,REGIÃO_NOROESTE,REGIÃO_NORTE,REGIÃO_OESTE,REGIÃO_PAMPULHA,REGIÃO_VENDA NOVA,ANO_VENCIMENTO,MES_VENCIMENTO,TRIMESTRE,VALOR_FATURA_lag1,VALOR_FATURA_lag2
False,False,True,False,False,False,False,False,False,False,2022,10,4,39.22,28.02
False,False,True,False,False,False,False,False,False,False,2023,1,1,156.26,101.46
False,False,False,True,False,False,False,False,False,False,2023,4,2,280.17,123.47
False,True,False,False,False,False,False,False,False,False,2024,12,4,56.22,63.44
False,False,False,False,False,False,True,False,False,False,2023,3,1,45.62,74.75
False,False,True,False,False,False,False,False,False,False,2023,3,1,503.86,486.46
False,True,False,False,False,False,False,False,False,False,2022,10,4,25.2,24.24
False,False,True,False,False,False,False,False,False,False,2023,11,4,800.73,642.35
True,False,False,False,False,False,False,False,False,False,2024,10,4,2263.83,1596.44
False,False,True,False,False,False,False,False,False,False,2023,6,2,4046.13,3723.77
False,False,False,False,False,False,False,False,True,False,2023,8,3,1065.71,956.02
False,False,True,False,False,False,False,False,False,False,2024,11,4,698.43,1482.84
False,False,True,False,False,False,False,False,False,False,2023,6,2,20.76,20.76
False,False,True,False,False,False,False,False,False,False,2023,5,2,32.39,31.91
False,False,True,False,False,False,False,False,False,False,2022,10,4,24.26,24.26
False,False,False,False,False,False,True,False,False,False,2022,9,3,204.96,511.3
False,False,False,True,False,False,False,False,False,False,2023,6,2,28.06,41.03
False,False,True,False,False,False,False,False,False,False,2022,12,4,24.24,24.24
False,False,True,False,False,False,False,False,False,False,2023,5,2,20.76,20.76
False,False,False,False,False,False,False,True,False,False,2023,2,1,28.0,28.0
False,False,False,False,False,True,False,False,False,False,2023,12,4,3078.5,3886.43
False,True,False,False,False,False,False,False,False,False,2023,12,4,30.83,30.83
False,False,True,False,False,False,False,False,False,False,2024,3,1,106.07,208.63
False,False,True,False,False,False,False,False,False,False,2024,4,2,62.17,39.82
False,False,False,False,False,True,False,False,False,False,2024,8,3,32.19,36.41
False,False,True,False,False,False,False,False,False,False,2024,6,2,49.69,49.63
False,True,False,False,False,False,False,False,False,False,2024,3,1,1662.27,2303.54
False,False,False,False,False,False,True,False,False,False,2022,5,2,94.43,84.63
False,False,False,False,False,True,False,False,False,False,2023,5,2,117.07,91.05
False,True,False,False,False,False,False,False,False,False,2023,2,1,27.98,27.98
False,False,False,False,False,False,False,True,False,False,2024,6,2,36.43,27.83
False,False,True,False,False,False,False,False,False,False,2024,10,4,27.82,27.82
False,False,False,False,False,False,False,False,False,True,2024,9,3,137.63,137.66
False,True,False,False,False,False,False,False,False,False,2022,5,2,787.84,753.53
False,False,False,False,False,False,False,True,False,False,2022,12,4,1249.6,1610.53
False,False,False,False,False,False,False,False,False,True,2022,4,2,1229.25,1871.49
False,False,False,False,False,True,False,False,False,False,2024,10,4,2657.31,2772.39
False,False,True,False,False,False,False,False,False,False,2022,8,3,371.34,202.93
False,False,False,False,False,False,False,False,False,True,2022,9,3,3339.23,3359.82
True,False,False,False,False,False,False,False,False,False,2023,6,2,294.84,56.35
False,False,True,False,False,False,False,False,False,False,2024,2,1,53.64,46.47
False,False,False,True,False,False,False,False,False,False,2022,12,4,2754.9,2914.83
False,False,False,False,False,False,False,False,True,False,2023,12,4,1706.77,1905.97
False,False,True,False,False,False,False,False,False,False,2024,5,2,981.9,1586.9
False,False,True,False,False,False,False,False,False,False,2023,9,3,2061.19,2188.32
False,True,False,False,False,False,False,False,False,False,2023,8,3,1309.11,65.63
False,False,False,False,False,False,False,False,True,False,2024,11,4,28.03,49.49
False,True,False,False,False,False,False,False,False,False,2024,4,2,36.4,40.28
False,False,False,False,False,False,False,True,False,False,2023,8,3,86.57,109.18
False,False,False,False,False,True,False,False,False,False,2024,10,4,55.72,27.99
False,False,True,False,False,False,False,False,False,False,2022,6,2,1008.3,1048.16
False,False,False,True,False,False,False,False,False,False,2023,9,3,39.11,39.11
False,True,False,False,False,False,False,False,False,False,2022,8,3,24.24,24.24
False,False,True,False,False,False,False,False,False,False,2023,5,2,41.07,36.74
False,False,True,False,False,False,False,False,False,False,2023,7,3,87.17,48.8
False,False,True,False,False,False,False,False,False,False,2024,5,2,232.45,202.25
False,False,False,False,False,False,False,False,True,False,2023,10,4,830.94,1374.38
False,False,False,False,False,True,False,False,False,False,2022,9,3,137.68,454.04
False,False,True,False,False,False,False,False,False,False,2024,10,4,73.31,2078.44
False,False,True,False,False,False,False,False,False,False,2023,6,2,131.66,143.26
False,False,False,False,False,False,False,False,False,True,2024,1,1,150.63,86.62
False,False,True,False,False,False,False,False,False,False,2024,8,3,55.97,55.9
False,False,True,False,False,False,False,False,False,False,2023,7,3,582.53,1072.17
False,False,False,False,False,False,False,False,False,True,2023,4,2,46.94,42.18
False,False,False,False,False,False,True,False,False,False,2022,12,4,136.94,163.15
False,False,True,False,False,False,False,False,False,False,2023,1,1,28.0,28.0
False,False,True,False,False,False,False,False,False,False,2024,3,1,46.47,53.64
False,False,True,False,False,False,False,False,False,False,2022,4,2,1572.27,1571.82
False,False,False,True,False,False,False,False,False,False,2022,11,4,1450.42,1891.86
False,False,True,False,False,False,False,False,False,False,2023,9,3,30.83,32.38
False,False,True,False,False,False,False,False,False,False,2023,11,4,19.76,20.13
False,False,True,False,False,False,False,False,False,False,2024,1,1,2260.54,3575.56
False,False,False,False,False,False,False,True,False,False,2023,4,2,36.8,30.0
False,False,False,False,False,False,False,True,False,False,2024,1,1,1463.78,1993.94
False,False,False,False,False,False,False,True,False,False,2023,5,2,120.47,97.87
False,False,True,False,False,False,False,False,False,False,2024,2,1,86.7,78.39
False,False,True,False,False,False,False,False,False,False,2022,6,2,1129.72,1590.89
False,False,False,False,False,False,False,False,False,True,2023,11,4,46.46,54.51
False,False,False,False,False,False,False,True,False,False,2023,1,1,24.24,24.24
False,False,False,False,True,False,False,False,False,False,2022,5,2,626.92,628.59
False,True,False,False,False,False,False,False,False,False,2024,8,3,32.11,40.7
False,False,True,False,False,False,False,False,False,False,2024,5,2,63.38,70.87
False,False,True,False,False,False,False,False,False,False,2024,4,2,2276.81,3718.01
False,False,False,True,False,False,False,False,False,False,2022,10,4,1229.36,1749.29
False,False,False,False,False,False,False,True,False,False,2024,7,3,48.46,48.41
False,False,True,False,False,False,False,False,False,False,2024,8,3,4226.98,3780.4
True,False,False,False,False,False,False,False,False,False,2022,9,3,2111.59,1610.61
False,False,False,False,True,False,False,False,False,False,2022,7,3,109.0,86.31
False,False,False,False,False,True,False,False,False,False,2023,1,1,94.5,84.7
False,False,False,False,False,False,False,True,False,False,2024,10,4,48.78,119.76
False,False,True,False,False,False,False,False,False,False,2023,1,1,3088.91,86.42
False,False,False,False,False,False,False,True,False,False,2024,7,3,32.16,27.85
False,False,True,False,False,False,False,False,False,False,2023,4,2,711.12,767.29
True,False,False,False,False,False,False,False,False,False,2024,1,1,54.81,1663.15
False,True,False,False,False,False,False,False,False,False,2022,9,3,78.55,440.35
False,True,False,False,False,False,False,False,False,False,2024,12,4,140.92,27.82
False,False,True,False,False,False,False,False,False,False,2022,10,4,3400.14,2953.96
False,True,False,False,False,False,False,False,False,False,2023,12,4,78.39,72.2
False,False,False,True,False,False,False,False,False,False,2022,6,2,1047.57,420.91
False,False,True,False,False,False,False,False,False,False,2022,9,3,189.48,215.79
False,False,True,False,False,False,False,False,False,False,2023,9,3,39.11,39.11
False,False,False,False,False,False,False,False,True,False,2024,3,1,47.62,67.97
False,False,False,False,False,True,False,False,False,False,2023,7,3,28.04,28.04
False,True,False,False,False,False,False,False,False,False,2024,3,1,39.94,39.1
False,False,False,True,False,False,False,False,False,False,2024,6,2,78.26,78.31
False,False,False,True,False,False,False,False,False,False,2022,6,2,48.71,42.18
False,False,False,False,False,False,False,False,False,True,2024,4,2,656.53,2575.87
False,False,True,False,False,False,False,False,False,False,2024,11,4,42.12,55.72
True,False,False,False,False,False,False,False,False,False,2022,12,4,3096.78,3257.45
False,True,False,False,False,False,False,False,False,False,2023,1,1,113.95,114.01
False,True,False,False,False,False,False,False,False,False,2023,9,3,53.58,53.59
False,False,True,False,False,False,False,False,False,False,2024,4,2,1202.86,1183.25
False,False,True,False,False,False,False,False,False,False,2024,5,2,168.45,49.68
False,True,False,False,False,False,False,False,False,False,2023,4,2,31.76,24.26
False,False,False,False,False,True,False,False,False,False,2023,10,4,31.41,30.83
False,False,False,True,False,False,False,False,False,False,2023,11,4,34.95,27.49
False,False,True,False,False,False,False,False,False,False,2023,5,2,470.4,370.12
False,False,False,False,False,False,False,False,True,False,2023,6,2,2372.68,2441.48
True,False,False,False,False,False,False,False,False,False,2023,10,4,54.66,53.64
False,True,False,False,False,False,False,False,False,False,2024,2,1,2567.32,667.46
False,False,True,False,False,False,False,False,False,False,2024,10,4,63.38,119.33
False,True,False,False,False,False,False,False,False,False,2024,10,4,696.9,656.24
True,False,False,False,False,False,False,False,False,False,2023,5,2,1672.09,1402.76
False,False,False,False,False,False,False,True,False,False,2024,2,1,519.29,1463.78
False,False,False,False,False,False,False,True,False,False,2024,5,2,324.44,368.8
False,False,False,False,True,False,False,False,False,False,2024,3,1,31.18,161.67
False,False,True,False,False,False,False,False,False,False,2024,11,4,230.14,228.71
False,False,False,False,False,False,False,True,False,False,2024,2,1,30.83,26.7
False,False,True,False,False,False,False,False,False,False,2023,6,2,56.34,69.33
False,True,False,False,False,False,False,False,False,False,2024,10,4,444.58,187.71
False,False,False,False,False,False,False,True,False,False,2022,8,3,24.28,39.22
False,False,False,False,False,False,True,False,False,False,2024,11,4,203.09,49.61
False,False,True,False,False,False,False,False,False,False,2023,6,2,63.9,63.9
False,False,False,True,False,False,False,False,False,False,2023,4,2,1421.9,1308.67
False,False,True,False,False,False,False,False,False,False,2023,6,2,4091.68,3001.42
False,True,False,False,False,False,False,False,False,False,2024,2,1,536.61,498.51
True,False,False,False,False,False,False,False,False,False,2024,11,4,720.79,835.88
False,False,False,False,False,True,False,False,False,False,2023,7,3,32.41,36.72
False,False,False,False,False,False,False,True,False,False,2023,4,2,841.17,527.01
False,False,True,False,False,False,False,False,False,False,2023,6,2,1907.6,264.8
False,False,False,False,False,False,False,True,False,False,2022,5,2,24.28,24.24
False,True,False,False,False,False,False,False,False,False,2023,9,3,53.6,47.39
False,False,False,False,False,True,False,False,False,False,2023,10,4,27.2,30.82
False,False,False,False,True,False,False,False,False,False,2024,6,2,27.82,27.85
False,False,False,False,False,False,False,False,False,True,2024,7,3,51.49,4081.5
False,False,True,False,False,False,False,False,False,False,2023,10,4,2125.68,1972.53
False,False,True,False,False,False,False,False,False,False,2023,4,2,35.85,31.72
False,False,False,False,False,True,False,False,False,False,2023,2,1,3407.24,4103.97
False,True,False,False,False,False,False,False,False,False,2022,6,2,124.2,116.73
False,False,True,False,False,False,False,False,False,False,2022,8,3,39.54,93.81
False,True,False,False,False,False,False,False,False,False,2024,12,4,32.2,32.32
False,False,True,False,False,False,False,False,False,False,2023,9,3,281.18,281.17
True,False,False,False,False,False,False,False,False,False,2022,5,2,43.06,35.54
False,True,False,False,False,False,False,False,False,False,2023,4,2,429.38,757.21
False,True,False,False,False,False,False,False,False,False,2022,8,3,62.06,123.73
False,False,True,False,False,False,False,False,False,False,2022,9,3,42.18,42.61
False,True,False,False,False,False,False,False,False,False,2023,2,1,31.78,31.8
False,False,True,False,False,False,False,False,False,False,2023,10,4,2505.59,2568.91
False,False,False,False,False,False,False,False,False,True,2022,7,3,48.69,42.2
False,False,False,False,False,False,False,True,False,False,2022,11,4,24.24,24.24
False,False,True,False,False,False,False,False,False,False,2023,11,4,1618.64,1996.72
False,False,True,False,False,False,False,False,False,False,2022,7,3,2333.55,2372.36
False,False,False,False,False,False,False,False,False,True,2024,3,1,1228.26,1757.96
False,False,True,False,False,False,False,False,False,False,2022,9,3,146.91,165.97
False,True,False,False,False,False,False,False,False,False,2024,5,2,97.43,172.28
False,False,True,False,False,False,False,False,False,False,2022,5,2,24.62,452.43
False,False,True,False,False,False,False,False,False,False,2024,10,4,614.97,616.64
True,False,False,False,False,False,False,False,False,False,2024,6,2,412.77,332.31
False,False,True,False,False,False,False,False,False,False,2022,11,4,3136.14,1913.0
False,True,False,False,False,False,False,False,False,False,2022,11,4,545.28,545.36
False,False,True,False,False,False,False,False,False,False,2023,7,3,28.04,32.37
False,False,True,False,False,False,False,False,False,False,2022,7,3,3054.17,746.82
False,False,True,False,False,False,False,False,False,False,2024,8,3,27.86,27.85
False,False,True,False,False,False,False,False,False,False,2024,6,2,995.1,696.0
False,False,True,False,False,False,False,False,False,False,2022,7,3,907.83,511.75
False,False,False,False,False,False,False,True,False,False,2022,6,2,1850.71,807.69
False,False,False,False,False,False,False,False,True,False,2024,1,1,30.82,26.69
False,False,False,False,False,False,False,True,False,False,2024,9,3,2996.52,3229.56
False,False,True,False,False,False,False,False,False,False,2022,9,3,104.74,123.66
False,False,False,False,False,False,False,False,True,False,2023,4,2,563.71,567.77
False,False,True,False,False,False,False,False,False,False,2024,6,2,36.4,32.12
False,False,True,False,False,False,False,False,False,False,2022,8,3,2592.53,3192.84
False,False,True,False,False,False,False,False,False,False,2022,7,3,24.24,24.24
False,False,False,False,False,False,False,False,False,True,2024,11,4,2567.89,3716.28
False,False,False,True,False,False,False,False,False,False,2024,10,4,3490.24,3724.94
False,True,False,False,False,False,False,False,False,False,2024,1,1,408.69,390.51
False,False,False,False,False,False,False,True,False,False,2023,10,4,72.65,30.83
False,False,True,False,False,False,False,False,False,False,2024,1,1,47.35,39.11
False,True,False,False,False,False,False,False,False,False,2024,11,4,32.15,32.15
False,False,False,False,False,True,False,False,False,False,2024,8,3,223.62,190.26
False,False,False,False,False,False,False,False,True,False,2023,3,1,3013.75,2756.8
False,False,True,False,False,False,False,False,False,False,2022,5,2,86.58,75.33
False,False,True,False,False,False,False,False,False,False,2023,1,1,2134.59,3094.59
False,False,True,False,False,False,False,False,False,False,2022,6,2,79.19,242.22
False,False,True,False,False,False,False,False,False,False,2024,11,4,36.4,27.82
False,False,False,True,False,False,False,False,False,False,2023,8,3,43.18,36.72
False,False,False,False,True,False,False,False,False,False,2024,9,3,718.61,109.42
False,False,True,False,False,False,False,False,False,False,2023,8,3,19.76,20.76
False,False,True,False,False,False,False,False,False,False,2024,1,1,500.56,353.9
False,False,False,False,False,False,False,True,False,False,2022,8,3,24.24,24.24
False,False,True,False,False,False,False,False,False,False,2022,9,3,1329.2,1529.5
False,False,True,False,False,False,False,False,False,False,2024,3,1,43.96,43.24
False,False,False,False,False,True,False,False,False,False,2023,5,2,3322.42,2746.97
False,True,False,False,False,False,False,False,False,False,2023,6,2,1204.85,1244.87
False,False,True,False,False,False,False,False,False,False,2023,1,1,84.67,486.64
False,False,False,True,False,False,False,False,False,False,2024,2,1,60.82,60.82
False,False,True,False,False,False,False,False,False,False,2024,2,1,2060.3,2060.07
False,True,False,False,False,False,False,False,False,False,2024,9,3,149.35,140.25
False,False,False,False,True,False,False,False,False,False,2024,3,1,41.52,345.62
False,False,True,False,False,False,False,False,False,False,2023,2,1,39.28,39.28
False,False,True,False,False,False,False,False,False,False,2022,6,2,55.2,94.25
False,False,False,True,False,False,False,False,False,False,2024,4,2,36.48,44.09
False,False,False,False,False,False,True,False,False,False,2024,8,3,3348.12,3482.27
False,False,False,False,False,False,False,True,False,False,2023,4,2,157.19,146.46
False,False,True,False,False,False,False,False,False,False,2023,1,1,24.26,28.04
False,False,True,False,False,False,False,False,False,False,2023,7,3,2605.34,2071.16
False,False,False,True,False,False,False,False,False,False,2023,4,2,28.55,198.08
False,False,False,False,False,False,False,True,False,False,2024,6,2,247.42,48.61
False,False,False,False,True,False,False,False,False,False,2022,12,4,55.22,48.73
False,False,True,False,False,False,False,False,False,False,2024,10,4,36.49,36.49
False,False,True,False,False,False,False,False,False,False,2024,5,2,155.64,132.04
False,False,True,False,False,False,False,False,False,False,2024,3,1,202.88,224.85
False,False,False,True,False,False,False,False,False,False,2022,4,2,1433.49,1895.64
False,False,True,False,False,False,False,False,False,False,2023,7,3,1257.65,1698.78
False,False,False,False,False,False,False,True,False,False,2023,5,2,41.09,40.09
False,False,False,True,False,False,False,False,False,False,2024,7,3,3597.59,3344.57
False,False,True,False,False,False,False,False,False,False,2023,4,2,702.23,796.09
False,False,True,False,False,False,False,False,False,False,2022,10,4,24.24,27.98
False,False,True,False,False,False,False,False,False,False,2023,2,1,847.74,827.55
False,False,True,False,False,False,False,False,False,False,2023,12,4,75.52,223.23
False,False,False,False,False,False,False,True,False,False,2023,9,3,844.72,844.69
False,False,False,True,False,False,False,False,False,False,2024,9,3,78.86,484.56
False,False,False,False,False,True,False,False,False,False,2022,9,3,31.76,24.28
False,False,True,False,False,False,False,False,False,False,2023,1,1,232.71,156.89
False,False,False,True,False,False,False,False,False,False,2024,3,1,1436.98,30.82
False,False,True,False,False,False,False,False,False,False,2024,12,4,40.7,49.29
False,False,False,False,False,True,False,False,False,False,2024,3,1,1003.54,1065.94
False,False,False,False,False,False,False,True,False,False,2023,2,1,31.72,24.24
True,False,False,False,False,False,False,False,False,False,2022,6,2,3457.94,2685.21
False,False,True,False,False,False,False,False,False,False,2024,1,1,1308.63,999.37
False,False,False,False,False,True,False,False,False,False,2024,6,2,2450.39,1805.76
False,False,False,True,False,False,False,False,False,False,2023,11,4,281.04,170.48
False,False,False,False,True,False,False,False,False,False,2024,11,4,2911.89,2890.02
False,False,False,False,False,True,False,False,False,False,2024,8,3,27.82,732.95
False,False,True,False,False,False,False,False,False,False,2023,6,2,1769.64,2164.36
False,False,True,False,False,False,False,False,False,False,2023,6,2,71.43,63.9
False,False,False,True,False,False,False,False,False,False,2024,4,2,20.59,20.29
False,False,True,False,False,False,False,False,False,False,2024,11,4,2973.56,64.46
False,False,True,False,False,False,False,False,False,False,2024,6,2,293.48,995.33
False,False,False,False,False,True,False,False,False,False,2024,8,3,248.09,187.42
False,True,False,False,False,False,False,False,False,False,2024,2,1,30.83,30.83
True,False,False,False,False,False,False,False,False,False,2024,5,2,1659.98,2576.98
False,False,False,False,False,False,True,False,False,False,2023,10,4,767.29,627.56
False,False,True,False,False,False,False,False,False,False,2022,8,3,1771.38,1731.48
False,False,False,False,False,False,False,False,False,True,2023,11,4,1419.73,669.52
False,True,False,False,False,False,False,False,False,False,2023,7,3,2005.89,1806.09
False,False,True,False,False,False,False,False,False,False,2023,4,2,748.46,833.19
False,False,True,False,False,False,False,False,False,False,2022,12,4,868.02,614.63
False,True,False,False,False,False,False,False,False,False,2023,5,2,443.65,357.28
False,True,False,False,False,False,False,False,False,False,2022,8,3,271.89,189.53
False,True,False,False,False,False,False,False,False,False,2023,4,2,50.31,2677.75
False,False,False,False,True,False,False,False,False,False,2023,5,2,3138.76,1354.64
False,True,False,False,False,False,False,False,False,False,2024,1,1,280.74,114.83
False,False,False,False,False,False,False,True,False,False,2024,3,1,531.44,188.26
False,False,True,False,False,False,False,False,False,False,2024,8,3,2367.39,2676.63
False,False,False,False,False,True,False,False,False,False,2023,12,4,3837.03,4019.92
False,False,False,False,False,True,False,False,False,False,2024,10,4,1274.13,1201.67
False,False,True,False,False,False,False,False,False,False,2022,5,2,338.03,255.54
False,True,False,False,False,False,False,False,False,False,2023,1,1,156.39,139.35
False,False,True,False,False,False,False,False,False,False,2022,6,2,104.25,150.04
False,False,True,False,False,False,False,False,False,False,2022,9,3,150.11,503.19
False,False,True,False,False,False,False,False,False,False,2024,5,2,32.12,32.12
False,False,True,False,False,False,False,False,False,False,2024,7,3,425.81,539.89
False,False,False,False,False,True,False,False,False,False,2024,9,3,32.11,27.82
False,False,False,False,False,False,False,True,False,False,2023,7,3,32.39,32.39
False,False,False,False,False,False,False,True,False,False,2022,6,2,136.68,114.0
False,False,False,False,False,True,False,False,False,False,2023,4,2,66.09,1692.51
False,False,False,False,False,False,True,False,False,False,2024,12,4,351.46,312.32
False,False,True,False,False,False,False,False,False,False,2024,1,1,2502.27,2815.68
False,False,False,False,True,False,False,False,False,False,2022,7,3,24.24,24.24
False,False,False,False,False,True,False,False,False,False,2023,11,4,30.83,31.41
False,False,True,False,False,False,False,False,False,False,2024,2,1,372.19,390.42
False,False,False,False,False,True,False,False,False,False,2022,6,2,1569.02,470.28
False,False,True,False,False,False,False,False,False,False,2023,12,4,689.58,136.13
False,False,False,False,False,True,False,False,False,False,2024,9,3,1837.66,1715.82
False,False,False,False,False,False,False,True,False,False,2022,8,3,707.12,504.0
